time,open,high,low,close,tick_volume,spread,real_volume
2025-01-07 17:00:00,1.03909,1.03909,1.0355,1.03722,4322,3,0
2025-01-07 18:00:00,1.03726,1.03812,1.03626,1.03681,3532,4,0
2025-01-07 19:00:00,1.03681,1.03737,1.03539,1.03667,2810,4,0
2025-01-07 20:00:00,1.03667,1.03693,1.03495,1.03543,2317,4,0
2025-01-07 21:00:00,1.03537,1.03596,1.03521,1.03552,1706,3,0
2025-01-07 22:00:00,1.03548,1.03561,1.0344,1.03443,1407,4,0
2025-01-07 23:00:00,1.03438,1.03441,1.0336400000000001,1.0336400000000001,552,4,0
2025-01-08 00:00:00,1.03371,1.03419,1.03371,1.03416,351,4,0
2025-01-08 01:00:00,1.03409,1.03449,1.03389,1.03415,651,3,0
2025-01-08 02:00:00,1.03415,1.03492,1.03415,1.03466,1166,4,0
2025-01-08 03:00:00,1.03466,1.03529,1.03453,1.03526,1222,4,0
2025-01-08 04:00:00,1.03528,1.0354700000000001,1.03512,1.0354,854,0,0
2025-01-08 05:00:00,1.0354,1.0354,1.03462,1.03476,741,0,0
2025-01-08 06:00:00,1.03474,1.03519,1.03474,1.03511,565,4,0
2025-01-08 07:00:00,1.03511,1.03558,1.03495,1.0354700000000001,877,4,0
2025-01-08 08:00:00,1.03548,1.03573,1.03461,1.03514,1012,4,0
2025-01-08 09:00:00,1.0351,1.03514,1.03283,1.03322,2334,3,0
2025-01-08 10:00:00,1.03322,1.03396,1.03179,1.03186,2785,3,0
2025-01-08 11:00:00,1.03183,1.03263,1.03154,1.03194,2418,4,0
2025-01-08 12:00:00,1.03194,1.03211,1.031,1.03189,2093,4,0
2025-01-08 13:00:00,1.03189,1.03198,1.02732,1.02976,3648,3,0
2025-01-08 14:00:00,1.02973,1.02999,1.02807,1.02826,3023,4,0
2025-01-08 15:00:00,1.02825,1.03042,1.02807,1.03032,3873,3,0
2025-01-08 16:00:00,1.03031,1.03072,1.02889,1.02912,3197,3,0
2025-01-08 17:00:00,1.02912,1.03097,1.02912,1.03015,3027,4,0
2025-01-08 18:00:00,1.03016,1.03143,1.02945,1.03124,2571,4,0
2025-01-08 19:00:00,1.03125,1.03131,1.02981,1.03051,2227,4,0
2025-01-08 20:00:00,1.03054,1.03156,1.03053,1.03127,2027,4,0
2025-01-08 21:00:00,1.03127,1.03242,1.03081,1.03088,2152,4,0
2025-01-08 22:00:00,1.03088,1.03167,1.03078,1.03161,1399,4,0
2025-01-08 23:00:00,1.03161,1.03192,1.03142,1.03149,559,4,0
2025-01-09 00:00:00,1.03155,1.03187,1.03121,1.0318,234,4,0
2025-01-09 01:00:00,1.03175,1.03185,1.03131,1.03132,618,0,0
2025-01-09 02:00:00,1.03132,1.03147,1.03048,1.03129,1152,4,0
2025-01-09 03:00:00,1.0313,1.03172,1.03113,1.03142,1210,4,0
2025-01-09 04:00:00,1.03142,1.03199,1.0314,1.03164,922,1,0
2025-01-09 05:00:00,1.03163,1.03212,1.03108,1.0311,899,4,0
2025-01-09 06:00:00,1.03109,1.03122,1.03056,1.03089,870,0,0
2025-01-09 07:00:00,1.03089,1.03124,1.03053,1.03065,975,4,0
2025-01-09 08:00:00,1.03066,1.03081,1.0297,1.03,1571,4,0
2025-01-09 09:00:00,1.03008,1.0308,1.02877,1.02909,2505,4,0
2025-01-09 10:00:00,1.0291,1.03075,1.02836,1.03075,2693,3,0
2025-01-09 11:00:00,1.03076,1.03174,1.0303,1.03058,2380,3,0
2025-01-09 12:00:00,1.03056,1.03124,1.02995,1.0303,2215,4,0
2025-01-09 13:00:00,1.03028,1.03043,1.02967,1.0301,2026,4,0
2025-01-09 14:00:00,1.0301,1.03049,1.02957,1.03032,1853,4,0
2025-01-09 15:00:00,1.03032,1.03185,1.03009,1.03078,2425,3,0
2025-01-09 16:00:00,1.03078,1.03145,1.03052,1.03072,2269,4,0
2025-01-09 17:00:00,1.03073,1.03094,1.02947,1.02991,2113,4,0
2025-01-09 18:00:00,1.02992,1.03009,1.0291,1.02972,1700,4,0
2025-01-09 19:00:00,1.02972,1.03016,1.02936,1.02972,1405,3,0
2025-01-09 20:00:00,1.02969,1.03022,1.02939,1.03,834,4,0
2025-01-09 21:00:00,1.03001,1.03019,1.02976,1.02978,619,0,0
2025-01-09 22:00:00,1.02981,1.03034,1.02981,1.03009,508,0,0
2025-01-09 23:00:00,1.03009,1.03009,1.02986,1.02992,437,2,0
2025-01-10 00:00:00,1.03011,1.03011,1.0294,1.02998,288,4,0
2025-01-10 01:00:00,1.02995,1.03008,1.02955,1.02964,529,4,0
2025-01-10 02:00:00,1.02965,1.03003,1.02921,1.02954,991,4,0
2025-01-10 03:00:00,1.02952,1.03042,1.02937,1.03017,1176,4,0
2025-01-10 04:00:00,1.03017,1.03035,1.02982,1.03016,867,4,0
2025-01-10 05:00:00,1.03016,1.03031,1.02975,1.02983,698,0,0
2025-01-10 06:00:00,1.02983,1.02997,1.02934,1.0295,697,0,0
2025-01-10 07:00:00,1.02951,1.02975,1.02846,1.02857,885,1,0
2025-01-10 08:00:00,1.02857,1.02881,1.02812,1.02816,1204,4,0
2025-01-10 09:00:00,1.02817,1.02971,1.02811,1.02969,1642,4,0
2025-01-10 10:00:00,1.02971,1.03117,1.02926,1.03027,2322,4,0
2025-01-10 11:00:00,1.03025,1.03057,1.02991,1.02998,1932,4,0
2025-01-10 12:00:00,1.02999,1.03057,1.02997,1.03022,1684,4,0
2025-01-10 13:00:00,1.03022,1.03053,1.02987,1.03016,1647,4,0
2025-01-10 14:00:00,1.03015,1.03092,1.0299,1.03055,1862,4,0
2025-01-10 15:00:00,1.03053,1.03117,1.02128,1.02563,4078,3,0
2025-01-10 16:00:00,1.02562,1.02727,1.02442,1.02516,4675,4,0
2025-01-10 17:00:00,1.02502,1.02786,1.02361,1.02503,4250,3,0
2025-01-10 18:00:00,1.02499,1.02511,1.02274,1.0237,3413,4,0
2025-01-10 19:00:00,1.02372,1.02505,1.02327,1.02444,2509,4,0
2025-01-10 20:00:00,1.02443,1.02459,1.02358,1.02414,1964,4,0
2025-01-10 21:00:00,1.02417,1.02488,1.02345,1.02454,1924,3,0
2025-01-10 22:00:00,1.02454,1.02459,1.02369,1.02446,1714,3,0
2025-01-10 23:00:00,1.02445,1.02487,1.0238,1.02404,705,4,0
2025-01-13 00:00:00,1.0231,1.0246,1.02248,1.0246,362,5,0
2025-01-13 01:00:00,1.02458,1.02468,1.02388,1.02429,765,4,0
2025-01-13 02:00:00,1.0243,1.02452,1.02365,1.02422,1005,3,0
2025-01-13 03:00:00,1.02423,1.02497,1.02392,1.02416,1589,3,0
2025-01-13 04:00:00,1.02416,1.0245,1.02383,1.02401,1150,4,0
2025-01-13 05:00:00,1.02399,1.02404,1.02128,1.02151,1404,4,0
2025-01-13 06:00:00,1.02152,1.02197,1.02077,1.02116,1180,4,0
2025-01-13 07:00:00,1.02116,1.02203,1.02102,1.02193,1192,4,0
2025-01-13 08:00:00,1.02193,1.02247,1.02144,1.02172,1442,4,0
2025-01-13 09:00:00,1.02162,1.02235,1.02075,1.02152,2524,4,0
2025-01-13 10:00:00,1.02151,1.02311,1.02136,1.02213,3163,4,0
2025-01-13 11:00:00,1.02213,1.0224,1.01772,1.01932,3408,3,0
2025-01-13 12:00:00,1.0193,1.02073,1.01927,1.0202,2528,3,0
2025-01-13 13:00:00,1.02019,1.02038,1.01859,1.01957,2408,4,0
